ಅಂಕದ ಪರದೆ ಏಳು	ಪ್ರಾರಂಭವಾಗು, ಆರಂಭವಾಗು
ಪಡಿಯಚ್ಚು	ಯಥಾರೂಪ
ಪಥ್ಯವಾಗು	ಹಿತವಾಗು
ಪರಾಕು ಹೇಳು	ಹೊಗಳು
ಪಲಾಯನಸೂತ್ರ ಪಠಿಸು	ಓಡಿಹೋಗು
ಪಳಗಿದ ಕೈ	ಅನುಭವಸ್ಥೆ
ಪ್ರಪಂಚಕ್ಕೆ ಕಾಲಿಡು	ಹುಟ್ಟು / ಜೀವನಮಾರ್ಗದಲ್ಲಿ ಕ್ರಮಿಸು
ಪಾಡುಪಡು	ತೊಂದರೆ ಅನುಭವಿಸು
ಪಾತಾಳಕ್ಕಿಳಿದು ಹೋಗು	ಕುಗ್ಗಿಹೋಗು
ಪಾತಾಳಕ್ಕೆ ಮೆಟ್ಟು	ಅವನತಿಗೆ ತಳ್ಳು
ಪಾದಸೇವೆ ಮಾಡು	ಭಕ್ತಿಪೂರ್ವಕ ಉಪಚಾರ ಮಾಡು
ಪಾರುಗಾಣಿಸು	ಮುಗಿಸು/ಪರಿಹರಿಸು
ಪಾರುಪತ್ಯ ಮಾಡು	ಅಧಿಕಾರ ಚಲಾಯಿಸು
ಪಾಲಿಗೆ ಬಂದದ್ದು ಪಂಚಾಮೃತವೆಂದು ಭಾವಿಸು	ಇದ್ದುದರಲ್ಲಿ ತೃಪ್ತಿಪಟ್ಟುಕೋ
ಪ್ರಾಣ ಕೊಡು	ಸೇವೆಗೆ ಸಿದ್ಧನಾಗಿರು
ಪ್ರಾಣ ಬರು	ಚೈತನ್ಯವುಂಟಾಗು
ಪ್ರಾಣ ಬಿಡು	ಅತಿಯಾಗಿ ಇಷ್ಟಪಡು
ಪ್ರಾಣವಿಡು	ಪ್ರೀತಿಸು
ಪ್ರಾಣವನ್ನು ಕೈಯಲ್ಲಿ ಹಿಡಿ	ಅತಿಯಾಗಿ ಹೆದರು
ಪ್ರಾಣವನ್ನು ಪಣವಾಗಿಡು	ಎಂತಹ ವಿಪತ್ತಿಗೂ ಸಿದ್ಧನಾಗಿರು
ಪಿಷ್ಟಪೇಷಣ	ಹೇಳಿದ್ದನ್ನೇ ಹೇಳು
ಪುಂಖಾನುಪುಂಖ	ಒಂದರ ಹಿಂದೊಂದು
ಪುಟಕ್ಕಿಟ್ಟ ಚಿನ್ನ	ಉತ್ತಮ ನಡತೆಯುಳ್ಳವ
ಪೆಟ್ಟು ತಿನ್ನು	ನಷ್ಟ ಅನುಭವಿಸು
ಬಗಲಿಗೆ ಹಾಕಿಕೊಳ್ಳು	ವಶಮಾಡಿಕೊಳ್ಳು
ಬಣ್ಣಕಟ್ಟು	ವರ್ಣಿಸಿ ಹೇಳು
ಬಣ್ಣ ಹಚ್ಚು	ವರ್ಣಿಸಿ ಹೇಳು
ಬಣ್ಣದ ಚಿಟ್ಟೆ	ಸೊಗಸುಗಾತಿ ಹೆಣ್ಣು
ಬಣ್ಣದ ಬದುಕು	ಮೇಲುನೋಟಕ್ಕೆ ಚೆನ್ನಾಗಿ ಕಾಣುವ ಜೀವನ
ಬದಿಗೊತ್ತು	ಅಲಕ್ಷ ಮಾಡು
ಬದ್ಧಕಂಕಣ	ಸಂಕಲ್ಪ ಮಾಡು
ಬಯಲಿಗೆಳೆ	ನಿಜಸಂಗತಿಯನ್ನು ಪ್ರಕಟಪಡಿಸು
ಬರಿಗೈಯಿಂದ ಬರು	ಕೆಲಸವಾಗದೆ ಹಿಂತಿರುಗು
ಬಲಗೈ ಬಂಟ	ನಂಬುಗೆಯ ಸೇವಕ
ಬಲಭುಜ	ಆಪ್ತ ಸಹಾಯಕ
ಬಲವಂತದ ಮಾಘಸ್ನಾನ	ಒತ್ತಾಯದಿಂದ ಮಾಡಬೇಕಾದ ಕೆಲಸ
ಬಾಗಿಲು ತೆರೆ	ಸ್ವಾಗತಿಸು
ಬಾಗಿಲಿಗೆ ಎಡತಾಕು	ಭೇಟಿಯಾಗಲು ಪದೇಪದೇ ಯತ್ನಿಸು
ಬಾಯಳಿ	ಮಾತಿಲ್ಲದಿರು
ಬಾಯುಪಚಾರ	ಬರೀ ಮಾತಿನ ಸತ್ಕಾರ
ಬಾಯಿ ಬಡಿದುಕೊಳ್ಳು	ಗೋಳಾಡು
ಬಾಯಿ ಬರು	ಮಾತು ಹೊರಡು
ಬಾಯಿ ಮುಚ್ಚು	ಸುಮ್ಮನಿರು
ಬಾಯಿಮಾತು	ಕೇವಲ ಹೇಳಿಕೆ
ಬಾಲ ಆಡಿಸು	ವಿಧೇಯತೆ ತೋರು
ಬಾಲ ಮುದುಡಿಕೊಂಡಿರು	ಹೆದರಿಕೊಂಡು ಸುಮ್ಮನಿರು
ಬಾಳಿನ ಮುಸ್ಸಂಜೆ	ಮುಪ್ಪು
ಬಿಕೋ ಎನ್ನು	ಖಾಲಿಯೆನಿಸು
ಬಿಡಿಸಲಾಗದ ಒಗಟು	ಅರ್ಥವಾಗದ ಸಮಸ್ಯೆ
ಬಿಸಿ ಮಾಡು	ಚುರುಕು ಮುಟ್ಟಿಸು
ಬಿಸಿ ತಾಗು	ತೊಂದರೆಯ ಅರಿವಾಗು
ಬಿಸಿಬಿಸಿ ಸುದ್ದಿ	ಇತ್ತೀಚಿನ ಸುದ್ದಿ
ಬೀದಿಗೆ ಬೀಳು	ಅನಾಥ ಮಗ
ಬೀಸುವ ದೊಣ್ಣೆಯಿಂದ ತಪ್ಪಿಸಿಕೊಳ್ಳು	ಅಪಾಯದಿಂದ ಪಾರಾಗು
ಬುಟ್ಟಿಗೆ ಹಾಕಿಕೊಳ್ಳು	ವಶಪಡಿಸಿಕೊಳ್ಳು
ಬುಡಕ್ಕೆ ಕೊಡಲಿಯಿಡು	ನಾಶಮಾಡು
ಬುಡಮೇಲಾಗು	ವ್ಯತಿರಿಕ್ತ ಪರಿಣಾಮವಾಗು
ಬುದ್ದಿ ಕಲಿಸು	ಮಾಡಿದ ತಪ್ಪಿಗೆ ಪ್ರತೀಕಾರ ಮಾಡು
ಬುರುಡೆಬಿಡು	ಸುಳ್ಳು ಹೇಳು
ಬೂದಿ ಮುಚ್ಚಿದ ಕೆಂಡ	ಕಾಣದಿರುವ ನಿಜರೂಪ
ಬೆಂಬಿಡದೆ	ಜೊತೆ ಬಿಡದೆ
ಬೆಂಬತ್ತು	ಹಿಂಬಾಲಿಸಿ ಹೋಗು
ಈ ಬೆಟ್ಟಕ್ಕೆ ಕಲ್ಲು ಹೊರು	ಪ್ರಯೋಜನವಿಲ್ಲದ ಕೆಲಸ
ಬೆತ್ತದ ರುಚಿ ತೋರಿಸು	ಲಾಠಿ ಪ್ರಹಾರ ಮಾಡು
ಬೆದರುಬೊಂಬೆ	ಸತ್ಯಹೀನ ವ್ಯಕ್ತಿ
ಬೆನ್ನಟ್ಟು	ಹಿಡಿಯಲು ಹಿಂಬಾಲಿಸಿ ಹೋಗು
ಬೆನ್ನ ಹಿಂದೆ	ತನಗೆ ತಿಳಿಯದಂತೆ
ಬೆನ್ನಿಗೆ ಇರಿ	ವಿಶ್ವಾಸದ್ರೋಹ
ಬೆನ್ನಿಗೆ ಎಣ್ಣೆ ಸವರಿಕೊಳ್ಳು	ಏಟು ತಿನ್ನಲು ಸಿದ್ಧನಾಗು
ಬೆನ್ನಿಗೆ ಕಟ್ಟಿಕೋ	ಜೊತೆಗೆ ಸೇರಿಸಿಕೊಳ್ಳು
ಬೆನ್ನಿಗೆ ಬೀಳು	ಒಡಹುಟ್ಟು
ಬೆನ್ನು ಬಾಗು	ಶ್ರಮಪಟ್ಟು ದುಡಿ
ಬೆನ್ನುಬೆನ್ನಿಗೆ	ಮತ್ತೆ ಮತ್ತೆ
ಬೆನ್ನುಮೂಳೆಯಿಲ್ಲದಿರು	ಧೈರ್ಯವಿಲ್ಲದಿರುವ
ಬೆರಳೆಣಿಕೆಯಷ್ಟು	ಅತಿ ಕಡಿಮೆ
ಬೆಳಗು	ಹೆಸರುವಾಸಿಯಾಗು
ಬೆಳಕು ಕಾಣು	ಪ್ರಕಟವಾಗು
ಬೆಳ್ಳಿ ಮೂಡು	ಬೆಳಗಾಗು
ಬೇರು ಹುಡುಕು	ಮೂಲವನ್ನು ಶೋಧಿಸು
ಬೇರು ಕೀಳು	ಮೂಲವೇ ಇಲ್ಲದಾಗು
ಬೇರುಸಹಿತ ಕೀಳು	ಸರ್ವನಾಶ ಮಾಡು
ಬೇಲಿ ಹಾಕು	ಆವರಣ ನಿರ್ಮಿಸಿಕೊಳ್ಳು
ಬೇಲಿಯೇ ಮೆದ್ದಹಾಗೆ	ರಕ್ಷಕನೇ ನಾಶ ಮಾಡು
ಭಟ್ಟಿ ಇಳಿಸು	ಯಥಾವತ್ತಾಗಿ ನಿರೂಪಿಸು
ಭಾಷೆ ತಪ್ಪು	ಕೊಟ್ಟ ಮಾತಿನಂತೆ ನಡೆಯದಿರು
ಭುಜಕ್ಕೆ ಭುಜ ಕೊಡು	ಸಹಕರಿಸು
ಭೂಮಿಗೆ ಭಾರವಾಗಿರು	ನಿಷ್ಟ್ರಯೋಜಕನಾಗಿರು
ಭೂಮಿಗೆ ಬರು	ಹುಟ್ಟು
ಮಂಗ ಮಾಯ	ಇದ್ದಕ್ಕಿದಂತೆ ಕಾಣದಾಗು
ಮಂತ್ರಹಾಕು	ಬುದ್ದಿ ತಿರುಗಿಸು
ಮಕ್ಕಿ ಕಾ ಮಕ್ಕಿ	ನಕಲುಪ್ರತಿ
ಮಗ್ಗಲು ಮುರಿ	ಚೆನ್ನಾಗಿ ಹೊಡೆ
ಮಡಿಲಲ್ಲಿ ಬೀಳು	ಆಶ್ರಯ ಪಡೆ
ಮಡುಗಟ್ಟು	ತುಂಬಿರು
ಮಣಿಯು	ಒಪ್ಪಿಕೊಳ್ಳು
ಮಣ್ಣಾಂಗಟ್ಟಿ	ಕನಿಷ್ಠ ವಸ್ತು
ಮಣ್ಣಿನ ಮಗ	ರೈತ
ಮಣ್ಣಿನ ವಾಸನೆ	ದೇಶ್ಯ ಗುಣ
ಮಣ್ಣು ತಿನ್ನು	ಹಾಳಾಗು
ಮಣ್ಣುಮುಕ್ಕಿಸು	ಸೋಲಿಸು
ಮಣ್ಣು ಹೊರು	ಶ್ರಮಪಡು
ಮಣ್ಣೆರಚು	ಮೋಸಮಾಡು
ಮಣೆಹಾಕು	ಉಪಚಾರ ಮಾಡು
ಮದವೇರು	ಅಹಂಕಾರ ಹೆಚ್ಚು
ಮದವಿಳಿ	ಅಹಂಕಾರ ತಗ್ಗು
ಮದುವೆ ಮಾಡು	ಶಿಕ್ಷಿಸು
ಮದ್ದು	ಪರಿಹಾರ
ಮನಸ್ಸು ಎಳೆ	ಆಕರ್ಷಿತವಾಗು
ಮನಸ್ಸು ಕಲ್ಲಾಗು	ಭಾವನೆಗೆ ಸ್ಪಂದಿಸದಿರು
ಮನಸ್ಸು ಕೆಡು	ಅಸಮಾಧಾನವಾಗು
ಮನಸ್ಸು ಗಟ್ಟಿಮಾಡು	ನಿಶ್ಚಯಿಸು
ಮನಸ್ಸು ಮುದುಡು	ಕುಗ್ಗು
ಮನಸ್ಸು ಹಗುರಾಗು	ದುಃಖ ಕಡಿಮೆಯಾಗು
ಮನಸ್ಸು ಹಾತೊರೆ	ಹಂಬಲಿಸು
ಮನಸ್ಸು ಹುಳಿಯಾಗು	ಅಸಮಾಧಾನವಾಗು
ಮನಸ್ಸಿನಲ್ಲಿ ಮಂಡಿಗೆ ತಿನ್ನು	ಸಿಗದುದಕ್ಕೆ ಆಶೆಪಡು
ಮನದಣಿಯೆ	ಮನಸ್ಸಿಗೆ ತೃಪ್ತಿಯಾಗುವಂತೆ
ಮನಸೋಲು	ಆಕರ್ಷಿತವಾಗು
ಮನೆಮಾಡು	ನೆಲೆಸು
ಮರುಳಾಗು	ಆಕರ್ಷಿತನಾಗು
ಮಾತಿಗೆ ತಪ್ಪು	ವಚನವನ್ನು ಮೀರು
ಮಾತು ತೆಗೆದುಹಾಕು	ಕಡೆಗಣಿಸು
ಮಾತು ನಡೆಸು	ಮಾತಿನಂತೆ ನಡೆದುಕೊಳ್ಳು
ಮಾತು ಬರು	ವಿಷಯ ಪ್ರಸ್ತಾಪವಾಗು
ಮಾತು ಮೀರು	ಹೇಳಿದಂತೆ ಕೇಳದಿರು
ಮಾತಿಗೆ ಮೀರಿದುದು	ವರ್ಣಿಸಲಾಗದುದು
ಮಾತಿನ ಮೇಲೆ	ವಿಶ್ವಾಸದ ಮೇರೆಗೆ
ಮನೆಮಾತಾಗು	ಜನರಿಗೆಲ್ಲ ಗೊತ್ತಾಗು
ಮಾರಣಹೋಮ	ಸಂಹಾರ ಮಾಡು
ಮಾರಾಮಾರಿ	ಹೊಡೆದಾಟ
ಮಾರುಹೋಗು	ಆಕರ್ಷಿತನಾಗು
ಮೀನಮೇಷ ಎಣಿಸು	ಹಿಂದೆಮುಂದೆ ನೋಡು
ಮೀಸಲು	ಅರ್ಪಿತವಾಗು
ಮೀಸಲಿಡು	
ಮೀಸೆ ಬರು	ಪ್ರಾಯಕ್ಕೆ ಬರು
ಮೀಸೆ ಬೆಳ್ಳಗಾಗು	ಮುದುಕನಾಗು
ಮುಕ್ತಕಂಠ	ತುಂಬುಮನಸ್ಸಿನಿಂದ
ಮುಖ ಇಟ್ಟುಕೊಳ್ಳು	ಮಾನವಾಗಿರು
ಮುಖ ಇರು	ಮರ್ಯಾದೆಯಿಂದಿರು
ಮುಖ ಊರಗಲವಾಗು	ಸಂತೋಷದಿಂದ ಹಿಗ್ಗು
ಮುಖ ಎತ್ತಿ ತಿರುಗು	ಮರ್ಯಾದೆಯಿಂದ ಬದುಕು
ಮುಖ ಕಪ್ಪಿಡು	ಅಪಮಾನವಾಗು
ಮುಖ ಕೆಡಿಸಿಕೊಳ್ಳು	ಅಸಮಾಧಾನಪಡು
ಮುಖ ಕೊಟ್ಟು ಮಾತಾಡು	ಧೈರ್ಯದಿಂದ ವರ್ತಿಸು
ಮುಖ ತಗ್ಗಿಸು	ಅಪಮಾನವಾಗು
ಮುಖ ತಿರುಗಿಸು	ತಿರಸ್ಕಾರ ಮಾಡು
ಮುಖ ತೋರಿಸು	ಕಾಣಿಸಿಕೊಳ್ಳು
ಮುಖ ಬಾಡು	ಸಪ್ಪಗಾಗು
ಮುಖ ಭಂಗವಾಗು	ಅಪಮಾನವಾಗು
ಮುಖ ಮರೆಸಿಕೊಳ್ಳು	ಕಾಣಿಸಿಕೊಳ್ಳದಿರು
ಮುಖ ಮಾಡು	ದೃಷ್ಟಿಹರಿಸು
ಮುಖ ಮುಖ ನೋಡು	ಏನೂ ತಿಳಿಯದಂತಿರು
ಮುಖ ಮುಚ್ಚಿಕೊಳ್ಳು	ನಾಚಿಕೆಪಡು
ಮುಖ ಸಣ್ಣದಾಗು	ಅಸಮಾಧಾನವಾಗು
ಮುಖ ಹಾಕು	ಗಮನಹರಿಸು
ಮುಖಕ್ಕೆ ಮಂಗಳಾರತಿಯಾಗು	ಅಪಮಾನವಾಗು
ಮುಖಕ್ಕೆ ಮರುಳಾಗು	ರೂಪಕ್ಕೆ ಆಕರ್ಷಿತನಾಗು
ಮುಖದ ಮೇಲೆ ಎಸೆ	ತಿರಸ್ಕಾರದಿಂದ ಕೊಡು
ಮುಖ ನೋಡಿ ಮಣೆಹಾಕು	ಪ್ರತ್ಯೇಕ ಮನ್ನಣೆ ಕೊಡು
ಮುಖವಾಡ ಧರಿಸು	ಸೋಗು ಹಾಕು
ಮುಗಿಲ ಮಲ್ಲಿಗೆ	ಸಿಗದಿರುವ ವಸ್ತು
ಮುಟ್ಟಿ ನೋಡಿಕೊಳ್ಳು	ಪರಿಣಾಮ ನೆನಪಿನಲ್ಲಿ ಉಳಿ
ಮುಟ್ಟಿದ್ದೆಲ್ಲ ಬಂಗಾರವಾಗು	ಯಶಸ್ವಿಯಾಗು
ಮುಟ್ಟಿಸು	ತಲುಪಿಸು
ಮುಡುಪುಕಟ್ಟು	ಮೀಸಲಿಡು
ಮುದ್ರೆಯೊತ್ತು	ಅಂಗೀಕರಿಸು
ಮುಂದಕ್ಕೆ ತರು	ಅಭಿವೃದ್ಧಿಗೆ ತರು
ಮುಂದಕ್ಕೆ ಹಾಕು	ಮುಂದಿನ ಸಮಯವನ್ನು ಗೊತ್ತುಪಡಿಸು
ಮುಂದಾಗು	ತೊಡಗು
ಮುಂದಿಡು	ಎದುರಿಗೆ ಇರಿಸು
ಮುಂದುಗಾಣು	ಮುಂದಿನ ಆಲೋಚನೆ ಮಾಡು
ಮುಂದುಗೆಡು	ಮುಂದಿನ ಕರ್ತವ್ಯದ ಬಗೆಗೆ ಗೊತ್ತಾಗದಿರು
ಮುಂದೂಡು	ಕೆಲಸವನ್ನು ಬೇರೆ ಸಮಯಕ್ಕೆ ಗೊತ್ತುಪಡಿಸು
ಮುನ್ನುಡಿ	ಪ್ರಾರಂಭ
ಮುಪ್ಪುರಿಗೊಳ್ಳು	ದೃಢವಾಗಿ ಹೊಂದು
ಮುಖ್ಯ ತೀರಿಸು	ಸೇಡು ತೀರಿಸು
ಮುಷ್ಟಿಯಲ್ಲಿಟ್ಟುಕೊಳ್ಳು	ಹಿಡಿತದಲ್ಲಿರಿ
ಮುಸುರೆ ಕೈಲಿ ಕಾಗೆ ಓಡಿಸದಿರು	ಜಿಪುಣನಾಗಿರು
ಮುಳ್ಳು	ಅಡಚಣೆ / ಕಂಟಕ
ಮುಳ್ಳನ್ನು ಕಿತ್ತುಹಾಕು	ಅಡಚಣೆಯನ್ನು ನಿವಾರಿಸು
ಮುಳ್ಳಿನ ಮೇಲೆ ಕೂತ ಹಾಗಿರು	ಬಹಳ ಕಷ್ಟದಿಂದ ಸಹಿಸು
ಮುಳ್ಳಿಂದಲೇ ಮುಳ್ಳನ್ನು ತೆಗೆ	ಶತ್ರುವಿಂದಲೇ ಶತ್ರುವನ್ನು ನಿವಾರಿಸು
ಮೂಗ ಕಂಡ ಕನಸು	ತಿಳಿದರೂ ವಿವರಿಸಲಾಗದ್ದು
ಮೂಗು ಕೊಯ್ಯು	ಸರಿಪಡಿಸಲಾಗದ ತಪ್ಪು
ಮೂಗುತೂರಿಸು	ಮಧ್ಯ ಪ್ರವೇಶಿಸು
ಮೂಗುದಾರ ಹಾಕು	ಹತೋಟಿಯಲ್ಲಿಡು
ಮೂಗು ಮುಕ್ಕಾಗು	ಗೌರವ ಕಡಿಮೆಯಾಗು
ಮೂಗು ಮುರಿ	ತಿರಸ್ಕಾರ ತೋರು
ಮೂಗಿಗೆ ಕವಡೆ ಕಟ್ಟಿಕೊಳ್ಳು	ಕಷ್ಟಪಟ್ಟು ದುಡಿ
ಮೂಗಿಗೆ ತುಪ್ಪ ಸವರು	ಆಸೆ ತೋರಿಸು
ಮೂಗಿನ ತುದಿ ಕೆಂಪಾಗು	ಸಿಟ್ಟಾಗು
ಮೂಗಿನ ನೇರಕ್ಕೆ ಮಾತನಾಡು	ತನ್ನ ಧೋರಣೆಯನ್ನೇ ಬಲವಾಗಿ ಪ್ರತಿಪಾದಿಸು
ಮೂಗಿನ ತುದಿಯಲ್ಲಿ ಕೋಪವಿರು	ಕೂಡಲೇ ಸಿಟ್ಟಿಗೇಳು
ಮೂಲೆಗುಂಪು ಮಾಡು	ದೂರೀಕರಿಸು
ಮೂಲೆಗೊತ್ತು	ಅಲಕ್ಷ್ಯ ಮಾಡು
ಮೂಲೋಚ್ಚಾಟನೆ ಮಾಡು	ಸರ್ವನಾಶಮಾಡು
ಮೂಸುವವರಿಲ್ಲದಿರು	ಬೇಡಿಕೆಯಿಲ್ಲದಿರು
ಮೃಗಜಲ	ಫಲಿಸದ ಆಸೆ
ಮೃದು ಹೃದಯ	ಭಾವನೆಗೆ ಸ್ಪಂದಿಸುವ ಸ್ವಭಾವ
ಮೆಟ್ಟಲು ತುಳಿ	ಪ್ರವೇಶಿಸು
ಮೆಟ್ಟಲು ಹತ್ತು	ಅನುಭವ ಪಡೆ
ಮೆಲುಕು ಹಾಕು	ನೆನಪುಗಳನ್ನು ಸ್ಮರಿಸು
ಮೇಣದ ಬೊಂಬೆ	ಮೃದುಸ್ವಭಾವದ ವ್ಯಕ್ತಿ
ಮೇಲುಪಂಕ್ತಿ ಹಾಕು	ಆದರ್ಶವಾಗು
ಮೇಲುಸಿರು	ಉಬ್ಬಸ
ಮೇಲೆತ್ತು	ಉದ್ಧರಿಸು
ಮೇಲೆ ನೋಡುತ್ತ ಕುಳಿತುಕೊಳ್ಳು	ಚಿಂತಾಕ್ರಾಂತನಾಗು
ಮೇಲೆ ಕೆಳಗೆ ನೋಡು	ಏನು ಮಾಡುವುದೆಂದು ತಿಳಿಯದಿರು
ಮೇಲಕ್ಕೆ ಬರು	ಏಳಿಗೆ ಹೊಂದು
ಮೇಳವಿಲ್ಲದಿರು	ಹೊಂದಾಣಿಕೆಯಿಲ್ಲದಿರು
ಮೈಯಳಿ	ಸೊರಗು
ಮೈಯರಿ	ಪ್ರಜ್ಞೆ ಬರು
ಮೈ ಉರಿ	ಸಂಕಟ
ಮೈ ಉಬ್ಬು	ಉತ್ಸಾಹಗೊಳ್ಳು
ಮೈ ಕೆಡು	ಆರೋಗ್ಯ ಕೆಡು
ಮೈಗೂಡು	ಸೇರಿಕೊಂಡಿರು
ಮೈ ಚಳಿ ಬಿಡು	ಸಂಕೋಚವನ್ನು ತ್ಯಜಿಸು
ಮೈ ಚೆನ್ನಾಗಿಲ್ಲದಿರು	ಅನಾರೋಗ್ಯವಾಗಿರು
ಮೈ ಚಾಚು	ಮಲಗು
ಮೈಚೆಲ್ಲು	ಆಲಸ್ಯದಿಂದ ಮಲಗು
ಮೈದೋರು	ಕಾಣಿಸಿಕೊಳ್ಳು
ಮೈ ತೇಯು	ಕಷ್ಟಪಡು
ಮೈದಡವು	ಪ್ರೀತಿ ತೋರು
ಮೈ ಬಗ್ಗು	ಶ್ರಮಪಡು
ಮೈ ಬಗ್ಗದಿರು	ಕಷ್ಟಪಡದಿರು
ಮೈ ಬರು	ದಪ್ಪಗಾಗು
ಮೈಬಿಸಿಯಾಗು	ಜ್ವರ ಬರು
ಮೈಮುರಿ	ಶ್ರಮಪಡು
ಮೈಯೆಲ್ಲ ಕಣ್ಣಾಗಿರು	ಎಚ್ಚರದಿಂದ ನೋಡು
ಮೈಯೆಲ್ಲ ಕಿವಿಯಾಗಿರು	ಜಾಗೃತನಾಗಿರು
ಮೈಗಳ್ಳತನ	ಸೋಮಾರಿತನ
ಮೊದಲ ಮೆಟ್ಟಲು	ಪ್ರಾರಂಭ
ಮೊಳಕೆಯಲ್ಲಿಯೇ ಚಿವುಟು	ಪ್ರಾರಂಭದಲ್ಲೇ ನಿವಾರಿಸು
ಮೋಕ್ಷ ಕಾದಿರು	ಶಿಕ್ಷೆಯನ್ನು ನಿರೀಕ್ಷಿಸು
ಯದ್ವಾ ತದ್ವಾ	ಮನಸ್ಸಿಗೆ ಬಂದಂತೆ
ಯಮಸದನಕ್ಕೆ ಅಟ್ಟು	ಸಂಹಾರ ಮಾಡು
. ಯಮಸಾಹಸ	ಬಲು ಕಷ್ಟ
ಯಾದವೀ ಕಲಹ	ಆಂತರಿಕ ಜಗಳ
ರಂಗೋಲೆ ಕೆಳಗೆ ತೂರು	ಬುದ್ಧಿವಂತಿಕೆ ತೋರು
ರಕ್ತ ಕುದಿ	ಸಿಟ್ಟೇರು
ರಕ್ತ ಸಂಬಂಧ	ಸೋದರ ಸಂಬಂಧ
ರಥ ಸಾಗಿಸು	ಜೀವನ ಸಾಗಿಸು
ರಾಜ್ಯಭಾರ ನಡೆಸು	ಆಡಳಿತ ನಡೆಸು
ರಾಜಾರೋಷವಾಗಿ	ಅಂಜಿಕೆಯಿಲ್ಲದೆ
ರಾತ್ರಿ ಹಗಲು	ಇಡೀ ದಿನ
ರಾಮಾಯಣ	ದೊಡ್ಡ ಘಟನೆ
ರಾವು ಬಡಿ	ಗ್ರಹದ ಪೀಡೆಗೆ ಗುರಿಯಾಗು
ರೆಕ್ಕೆ ಪುಕ್ಕ ಬರು	ಶಕ್ತಿ ಮೂಡು
ರೆಪ್ಪೆ ಹೊಡೆಯುವಷ್ಟರಲ್ಲಿ	ಆ ಕ್ಷಣದಲ್ಲಿ
ರೈಲು ಬಿಡು	ಸುಳ್ಳು ಹೇಳು
`ರೊಟ್ಟಿ ಜಾರಿ ತುಪ್ಪಕ್ಕೆ ಬೀಳು	ಆಸೆ ನೆರವೇರು
ರೋಗ	ಕೆಟ್ಟ ಅಭ್ಯಾಸ
ರೋಮ ನೆಟ್ಟಗೆ ನಿಲ್ಲು	ಮೈ ನವಿರೇಳು
ಲಂಗು ಲಗಾಮಿಲ್ಲದಿರು	ಹತೋಟಿಯಿಲ್ಲದಿರು
ಲಕ್ಷ್ಮಿ ತಾಂಡವವಾಡು	ಸಂಪತ್ತು ತುಂಬಿರು
ಲೆಕ್ಕವಿಲ್ಲದಷ್ಟು	ಅನೇಕ
ರಾಜೇಗೌಡರ ಲೆಕ್ಕಾಚಾರ ತೀರಿಸು	ಋಣ ಸಂದಾಯಮಾಡು
ಲೋಕ ಕಾಣು	ಅನುಭವ ಹೊಂದು
ವಕ್ರ ದೃಷ್ಟಿ	ಕೆಟ್ಟ ಆಲೋಚನೆಯಿಂದ ಗಮನಿಸು
ವಕ್ರ ಬುದ್ಧಿ	ಕೆಟ್ಟದನ್ನು ಹುಡುಕುವ ಸ್ವಭಾವ
ವಜ್ರಸು	ಬಯಸದೆ ಆಗಮಿಸು
ವಜ್ರದೇಹ	ಗಟ್ಟಿಮುಟ್ಟಾದ ದೇಹ
ವಾಸನೆಯಿಲ್ಲದಿರು	ಪರಿಚಯವಿಲ್ಲದಿರು
ವಿಶಾಲ ಮನಸ್ಸು	ಮಾನವೀಯ ಮನೋಭಾವ
ವಿಶಾಲ ಹೃದಯ	ಮಾನವೀಯತೆ
ವಿಷ ಕಾರು	ದ್ವೇಷ ಸಾಧಿಸು
ವಿಷ ಜಂತು	ಕೆಟ್ಟ ವ್ಯಕ್ತಿ
ವೀಳೆಯ ತೆಗೆದುಕೊಳ್ಳು	ಸಂಕಲ್ಪ ಮಾಡು
ಶಂಖ ಊದು	ಪ್ರಚಾರ ಮಾಡುತ್ತ ತಿರುಗು
ಶಂಖದಲ್ಲಿ ಬಂದಿದ್ದೇ ತೀರ್ಥ	ಅಧಿಕೃತವಾಗಿ ಹೊರಬೀಳುವುದಕ್ಕೇ ಬೆಲೆ
ಶತಾಯಗತಾಯ	ಯಾವುದಾದರೊಂದು ಬಗೆಯಲ್ಲಿ
ಶುಕ್ರದಶೆ	ಅದೃಷ್ಟದ ಕಾಲ
ಶ್ರುತಿ ಬದಲಿಸು	ಮಾತಿನ ವರಸೆ ಬದಲಿಸು
ಸಂಕುಚಿತ ಬುದ್ದಿ	ವಿಶಾಲ ಮನೋಭಾವವಿಲ್ಲದಿರುವಿಕೆ
ಸಂಜೀವನಿ	ಪರಮೌಷಧ
ಸಟ್ಟುಗ ಹಿಡಿ	ಅಡುಗೆ ಮಾಡು
ಸತ್ತುಹುಟ್ಟು	ಆತಂಕಪಡು
ಸಂನ್ಯಾಸಿಯ ಸಂಸಾರ	ಅವಶ್ಯಕತೆಯಿಲ್ಲದ ಸಂಬಂಧ
ವಿರೋಧಿ ಸರ್ಕಸ್ ಮಾಡು	ಬಗೆಬಗೆಯಾಗಿ ಪ್ರಯತ್ನಿಸು
ಸಾಕುಬೇಕಾಗು	ಕಷ್ಟವೆನಿಸು
ಸಿಂಹ ಪಾಲು	ದೊಡ್ಡ ಭಾಗ
